#depth[mm]	Amp[V]	HF [V]	TGC [dB]
0,0	0,560	0,006	0,315
0,1	0,683	0,021	0,315
0,3	0,796	0,998	0,000
0,4	0,892	-0,593	-0,157
0,5	0,964	-1,010	0,315
0,7	1,010	-1,010	0,787
0,8	1,028	0,588	0,472
1,0	1,021	0,998	0,000
1,1	0,994	0,250	0,000
1,2	0,952	-0,302	0,157
1,4	0,904	0,998	0,315
1,5	0,857	0,478	0,315
1,6	0,819	-0,065	0,157
1,8	0,795	0,998	0,000
1,9	0,791	0,478	0,157
2,0	0,807	-0,616	0,315
2,2	0,844	0,210	0,315
2,3	0,897	-1,010	0,315
2,5	0,961	-0,514	0,157
2,6	1,030	0,998	0,157
2,7	1,097	0,454	0,157
2,9	1,154	0,927	0,157
3,0	1,194	0,013	0,315
3,1	1,212	-1,010	0,315
3,3	1,204	-1,010	0,157
3,4	1,171	-1,010	0,157
3,5	1,111	-1,010	0,315
3,7	1,029	0,069	0,157
3,8	0,929	0,769	0,157
4,0	0,818	0,580	0,315
4,1	0,701	0,738	0,157
4,2	0,584	-0,097	0,157
4,4	0,475	0,006	0,157
4,5	0,378	0,202	0,157
4,6	0,295	-0,105	0,157
4,8	0,230	0,305	0,157
4,9	0,182	0,273	0,157
5,1	0,150	-0,113	0,157
5,2	0,131	-0,026	0,157
5,3	0,123	-0,073	0,157
5,5	0,122	-0,152	0,157
5,6	0,125	0,053	0,157
5,7	0,128	0,084	0,157
5,9	0,130	0,053	0,157
6,0	0,130	0,116	0,157
6,1	0,125	-0,010	0,157
6,3	0,117	-0,050	0,157
6,4	0,105	-0,026	0,157
6,6	0,092	-0,113	0,157
6,7	0,077	-0,042	0,157
6,8	0,064	-0,010	0,157
7,0	0,052	-0,057	0,157
7,1	0,044	-0,034	0,157
7,2	0,038	-0,026	0,315
7,4	0,037	-0,057	0,157
7,5	0,038	-0,026	0,157
7,6	0,043	0,013	0,157
7,8	0,049	0,013	0,157
7,9	0,056	0,053	0,157
8,1	0,062	0,037	0,157
8,2	0,068	0,006	0,157
8,3	0,072	-0,026	0,157
8,5	0,073	-0,089	0,157
8,6	0,072	-0,081	0,157
8,7	0,068	-0,050	0,157
8,9	0,063	-0,034	0,157
9,0	0,055	0,013	0,157
9,1	0,047	0,037	0,157
9,3	0,039	0,021	0,157
9,4	0,031	0,006	0,315
9,6	0,025	0,006	0,157
9,7	0,019	-0,010	0,157
9,8	0,016	0,006	0,157
10,0	0,014	0,013	0,157
10,1	0,013	0,006	0,157
10,2	0,013	0,013	0,157
10,4	0,014	-0,002	0,157
10,5	0,016	-0,010	0,315
10,6	0,017	-0,018	0,157
10,8	0,018	-0,018	0,157
10,9	0,019	-0,010	0,157
11,1	0,020	0,006	0,157
11,2	0,019	0,006	0,157
11,3	0,019	0,013	0,157
11,5	0,018	0,021	0,157
11,6	0,017	0,006	0,157
11,7	0,016	-0,002	0,157
11,9	0,015	-0,002	0,157
12,0	0,014	-0,002	0,157
12,1	0,014	0,006	0,315
12,3	0,014	0,006	0,157
12,4	0,014	-0,010	0,157
12,6	0,015	-0,010	0,157
12,7	0,016	-0,018	0,157
12,8	0,016	-0,018	0,157
13,0	0,017	-0,010	0,157
13,1	0,017	-0,002	0,157
13,2	0,018	0,006	0,157
13,4	0,018	0,013	0,157
13,5	0,018	0,013	0,157
13,7	0,018	0,013	0,157
13,8	0,018	0,013	0,315
13,9	0,018	0,013	0,157
14,1	0,017	0,013	0,157
14,2	0,017	0,006	0,157
14,3	0,017	-0,002	0,157
14,5	0,017	-0,002	0,157
14,6	0,016	-0,010	0,157
14,7	0,015	-0,010	0,157
14,9	0,015	-0,010	0,157
