#depth[mm]	Amp[V]	HF [V]	TGC [dB]
15,0	0,014	-0,010	0,157
15,2	0,013	0,006	0,157
15,3	0,011	0,006	0,157
15,4	0,010	0,006	0,157
15,6	0,009	0,013	0,157
15,7	0,008	-0,002	0,157
15,8	0,007	-0,002	0,157
16,0	0,007	-0,002	0,157
16,1	0,007	-0,002	0,315
16,2	0,007	-0,002	0,157
16,4	0,008	0,006	1,260
16,5	0,010	0,006	3,780
16,7	0,012	-0,002	5,984
16,8	0,014	-0,002	7,244
16,9	0,016	-0,002	8,189
17,1	0,017	0,006	8,819
17,2	0,018	0,013	8,976
17,3	0,019	0,021	9,134
17,5	0,019	0,021	9,291
17,6	0,019	0,013	9,449
17,7	0,018	-0,002	9,449
17,9	0,018	-0,010	9,449
18,0	0,019	-0,002	9,449
18,2	0,022	-0,002	9,606
18,3	0,027	-0,010	9,606
18,4	0,034	-0,026	9,606
18,6	0,045	-0,034	9,606
18,7	0,058	-0,065	9,764
18,8	0,076	-0,034	9,764
19,0	0,096	0,029	9,764
19,1	0,120	0,069	9,921
19,2	0,145	0,147	9,764
19,4	0,172	0,092	9,764
19,5	0,198	-0,081	9,921
19,7	0,224	-0,168	9,921
19,8	0,249	-0,231	9,921
19,9	0,271	-0,223	9,921
20,1	0,290	-0,002	9,921
20,2	0,306	0,218	9,921
20,3	0,319	0,289	10,079
20,5	0,328	0,328	10,079
20,6	0,333	0,218	10,079
20,7	0,335	-0,002	10,079
20,9	0,334	-0,128	10,079
21,0	0,330	-0,231	10,079
21,2	0,322	-0,317	10,236
21,3	0,311	-0,262	10,236
21,4	0,297	-0,144	10,236
21,6	0,279	-0,042	10,236
21,7	0,259	0,132	10,236
21,8	0,237	0,242	10,236
22,0	0,213	0,234	10,394
22,1	0,188	0,171	10,394
22,2	0,164	0,069	10,394
22,4	0,141	-0,042	10,394
22,5	0,121	-0,089	10,394
22,7	0,105	-0,081	10,394
22,8	0,093	-0,050	10,551
22,9	0,087	-0,026	10,551
23,1	0,085	-0,042	10,551
23,2	0,088	-0,073	10,551
23,3	0,094	-0,089	10,551
23,5	0,103	-0,081	10,551
23,6	0,113	-0,002	10,709
23,8	0,122	0,092	10,709
23,9	0,129	0,132	10,709
24,0	0,132	0,139	10,709
24,2	0,132	0,092	10,709
24,3	0,128	-0,002	10,709
24,4	0,120	-0,065	10,866
24,6	0,109	-0,097	10,866
24,7	0,095	-0,089	10,866
24,8	0,080	-0,050	10,866
25,0	0,065	-0,010	10,866
25,1	0,051	0,013	10,866
25,3	0,039	0,021	11,024
25,4	0,030	0,013	11,024
25,5	0,024	0,006	11,024
25,7	0,020	0,021	11,024
25,8	0,019	0,021	11,024
25,9	0,020	0,029	11,181
26,1	0,023	0,029	11,181
26,2	0,025	-0,002	11,181
26,3	0,028	-0,018	11,181
26,5	0,030	-0,026	11,181
26,6	0,031	-0,034	11,181
26,8	0,032	-0,026	11,181
26,9	0,031	-0,002	11,339
27,0	0,030	0,006	11,339
27,2	0,028	0,021	11,339
27,3	0,027	0,021	11,339
27,4	0,025	0,013	11,339
27,6	0,025	0,013	11,339
27,7	0,025	0,013	11,496
27,8	0,025	0,013	11,496
28,0	0,026	0,006	11,496
28,1	0,028	-0,010	11,496
28,3	0,029	-0,026	11,496
28,4	0,030	-0,034	11,496
28,5	0,031	-0,034	11,654
28,7	0,031	-0,026	11,654
28,8	0,031	-0,010	11,654
28,9	0,030	0,013	11,654
29,1	0,029	0,021	11,654
29,2	0,028	0,029	11,654
29,3	0,027	0,021	11,811
29,5	0,026	0,013	11,811
29,6	0,026	0,013	11,811
29,8	0,026	0,013	11,811
29,9	0,027	0,013	11,811
30,0	0,029	0,006	11,811
30,2	0,031	-0,002	11,969
30,3	0,032	-0,010	11,969
30,4	0,034	-0,026	11,969
30,6	0,035	-0,042	11,969
30,7	0,036	-0,042	11,969
30,8	0,036	-0,026	12,126
31,0	0,035	-0,010	12,126
31,1	0,034	0,013	12,126
31,3	0,032	0,029	12,126
31,4	0,030	0,029	12,126
31,5	0,028	0,021	12,126
31,7	0,027	0,013	12,283
31,8	0,026	0,013	12,283
31,9	0,025	0,006	12,283
32,1	0,025	0,006	12,283
32,2	0,025	0,013	12,283
32,4	0,026	-0,002	12,283
32,5	0,027	-0,018	12,283
32,6	0,028	-0,026	12,441
32,8	0,029	-0,034	12,441
32,9	0,029	-0,026	12,441
33,0	0,028	-0,018	12,441
33,2	0,026	-0,010	12,441
33,3	0,024	0,006	12,441
33,4	0,021	0,021	12,598
33,6	0,018	0,013	12,598
33,7	0,014	0,006	12,598
33,9	0,011	0,006	12,598
34,0	0,008	-0,002	12,598
34,1	0,006	-0,010	12,598
34,3	0,005	-0,002	12,756
34,4	0,005	-0,002	12,756
34,5	0,006	0,006	12,756
34,7	0,008	-0,002	12,756
34,8	0,011	-0,010	12,756
34,9	0,014	0,006	12,913
35,1	0,018	0,006	12,913
35,2	0,021	0,006	12,913
35,4	0,024	0,013	12,913
35,5	0,026	0,021	12,913
35,6	0,028	-0,010	13,071
35,8	0,028	-0,026	13,071
35,9	0,027	-0,042	13,071
36,0	0,026	-0,034	13,071
36,2	0,024	-0,010	13,071
36,3	0,022	0,006	13,071
36,4	0,020	0,013	13,071
36,6	0,020	0,006	13,071
36,7	0,020	0,006	13,228
36,9	0,021	-0,002	13,228
37,0	0,023	0,006	13,228
37,1	0,026	0,021	13,228
37,3	0,030	0,029	13,228
37,4	0,034	0,029	13,228
37,5	0,037	0,021	13,386
37,7	0,040	-0,010	13,386
37,8	0,042	-0,034	13,386
37,9	0,043	-0,050	13,386
38,1	0,043	-0,050	13,386
38,2	0,042	-0,034	13,386
38,4	0,041	-0,010	13,543
38,5	0,039	0,013	13,543
38,6	0,037	0,013	13,543
38,8	0,035	0,021	13,543
38,9	0,033	0,021	13,543
39,0	0,032	0,029	13,543
39,2	0,032	0,013	13,701
39,3	0,032	-0,002	13,701
39,4	0,033	-0,018	13,701
39,6	0,033	-0,034	13,701
39,7	0,034	-0,042	13,701
39,9	0,034	-0,034	13,701
40,0	0,034	-0,002	13,858
40,1	0,033	0,021	13,858
40,3	0,031	0,021	13,858
40,4	0,029	0,021	13,858
40,5	0,027	0,013	13,858
40,7	0,024	-0,002	13,858
40,8	0,021	-0,018	14,016
41,0	0,018	-0,018	14,016
41,1	0,016	-0,010	14,016
41,2	0,014	-0,002	14,016
41,4	0,013	0,006	14,016
41,5	0,013	0,013	14,016
41,6	0,013	0,006	14,173
41,8	0,014	0,006	14,173
41,9	0,015	-0,010	14,173
42,0	0,017	-0,010	14,173
42,2	0,019	-0,018	14,173
42,3	0,021	-0,018	14,173
42,5	0,024	-0,018	14,331
42,6	0,026	-0,026	14,331
42,7	0,027	-0,018	14,331
42,9	0,029	-0,010	14,331
43,0	0,030	0,006	14,331
43,1	0,031	0,013	14,331
43,3	0,031	0,037	14,488
43,4	0,031	0,029	14,488
43,5	0,031	0,021	14,488
43,7	0,031	0,013	14,488
43,8	0,030	-0,002	14,488
44,0	0,029	-0,018	14,488
44,1	0,029	-0,026	14,646
44,2	0,028	-0,026	14,646
44,4	0,027	-0,018	14,646
44,5	0,025	0,006	14,646
44,6	0,024	0,013	14,646
44,8	0,023	0,006	14,646
44,9	0,022	-0,002	14,803
45,0	0,021	-0,018	14,803
45,2	0,020	-0,034	14,803
45,3	0,019	-0,026	14,803
45,5	0,018	-0,018	14,803
45,6	0,017	-0,002	14,803
45,7	0,017	0,006	14,961
45,9	0,017	-0,002	14,961
46,0	0,017	-0,002	14,961
46,1	0,018	-0,002	14,961
46,3	0,019	0,006	14,961
46,4	0,021	0,013	14,961
46,5	0,023	0,029	15,118
46,7	0,025	0,029	15,118
46,8	0,027	0,013	15,118
47,0	0,029	-0,010	15,118
47,1	0,031	-0,026	15,118
47,2	0,032	-0,034	15,118
47,4	0,034	-0,018	15,276
47,5	0,035	-0,002	15,276
47,6	0,035	0,021	15,276
47,8	0,035	0,021	15,276
47,9	0,035	-0,002	15,276
48,0	0,034	-0,026	15,276
48,2	0,033	-0,042	15,433
48,3	0,031	-0,034	15,433
48,5	0,030	-0,018	15,433
48,6	0,027	0,006	15,433
48,7	0,025	0,021	15,433
48,9	0,023	0,021	15,433
49,0	0,020	0,006	15,591
49,1	0,018	-0,010	15,591
49,3	0,016	-0,002	15,591
49,4	0,014	0,006	15,591
49,5	0,012	0,006	15,591
49,7	0,011	0,006	15,591
49,8	0,011	-0,002	15,748
50,0	0,010	-0,010	15,748
50,1	0,011	-0,018	15,748
50,2	0,011	-0,018	15,748
50,4	0,012	-0,010	15,748
50,5	0,013	-0,002	15,748
50,6	0,015	0,006	15,906
50,8	0,017	0,006	15,906
50,9	0,019	0,013	15,906
51,1	0,021	0,006	15,906
51,2	0,023	-0,002	15,906
51,3	0,025	-0,018	15,906
51,5	0,027	-0,026	16,063
51,6	0,028	-0,034	16,063
51,7	0,029	-0,026	16,063
51,9	0,029	-0,010	16,063
52,0	0,029	0,006	16,063
52,1	0,028	0,021	16,063
52,3	0,027	0,021	16,063
52,4	0,026	0,021	16,220
52,6	0,024	0,013	16,220
52,7	0,022	-0,002	16,220
52,8	0,020	-0,018	16,220
53,0	0,019	-0,018	16,220
53,1	0,019	-0,018	16,378
53,2	0,019	-0,010	16,378
53,4	0,020	0,006	16,378
53,5	0,021	0,013	16,378
53,6	0,024	0,006	16,378
53,8	0,027	-0,010	16,378
53,9	0,030	-0,034	16,535
54,1	0,034	-0,042	16,535
54,2	0,038	-0,018	16,535
54,3	0,042	0,013	16,535
54,5	0,045	0,037	16,535
54,6	0,048	0,037	16,535
54,7	0,050	0,013	16,693
54,9	0,051	-0,026	16,693
55,0	0,051	-0,050	16,693
55,1	0,051	-0,050	16,693
55,3	0,050	-0,026	16,693
55,4	0,047	0,006	16,693
55,6	0,045	0,037	16,693
55,7	0,042	0,037	16,850
55,8	0,039	0,029	16,850
56,0	0,036	0,006	16,850
56,1	0,033	-0,018	16,850
56,2	0,031	-0,034	16,850
56,4	0,030	-0,034	17,008
56,5	0,029	-0,018	17,008
56,6	0,030	-0,018	17,008
56,8	0,030	-0,018	17,008
56,9	0,031	-0,018	17,008
57,1	0,033	-0,002	17,008
57,2	0,034	0,013	17,008
57,3	0,035	0,029	17,165
57,5	0,036	0,045	17,165
57,6	0,037	0,029	17,165
57,7	0,037	0,006	17,165
57,9	0,036	-0,018	17,165
58,0	0,035	-0,042	17,323
58,1	0,034	-0,034	17,323
58,3	0,032	-0,026	17,323
58,4	0,031	-0,002	17,323
58,6	0,029	-0,002	17,323
58,7	0,027	-0,002	17,323
58,8	0,026	-0,018	17,323
59,0	0,024	-0,034	17,480
59,1	0,023	-0,026	17,480
59,2	0,022	-0,010	17,480
59,4	0,020	0,006	17,480
59,5	0,019	0,029	17,480
59,7	0,019	0,021	17,480
59,8	0,018	0,013	17,638
59,9	0,018	-0,002	17,638
60,1	0,018	-0,002	17,638
60,2	0,019	-0,010	17,638
60,3	0,021	0,006	17,638
60,5	0,022	0,006	17,638
60,6	0,024	0,006	17,795
60,7	0,026	-0,010	17,795
60,9	0,028	-0,026	17,795
61,0	0,029	-0,042	17,795
61,2	0,030	-0,034	17,795
61,3	0,029	-0,018	17,953
61,4	0,028	-0,002	17,953
61,6	0,025	0,013	17,953
61,7	0,022	0,021	17,953
61,8	0,018	0,006	17,953
62,0	0,013	0,006	17,953
62,1	0,009	0,006	17,953
62,2	0,006	-0,002	18,110
62,4	0,004	-0,002	18,110
62,5	0,004	-0,002	18,110
62,7	0,006	-0,002	18,110
62,8	0,011	0,006	18,110
62,9	0,018	0,006	18,268
63,1	0,029	-0,002	18,268
63,2	0,042	-0,018	18,268
63,3	0,058	-0,050	18,268
63,5	0,077	-0,081	18,268
63,6	0,097	-0,089	18,268
63,7	0,118	-0,057	18,268
63,9	0,139	0,013	18,268
64,0	0,159	0,108	18,425
64,2	0,178	0,163	18,425
64,3	0,194	0,171	18,425
64,4	0,207	0,116	18,425
64,6	0,216	-0,010	18,583
64,7	0,220	-0,128	18,583
64,8	0,220	-0,215	18,583
65,0	0,215	-0,215	18,583
65,1	0,205	-0,136	18,583
65,2	0,192	-0,026	18,583
65,4	0,175	0,084	18,583
65,5	0,156	0,139	18,583
65,7	0,136	0,132	18,740
65,8	0,115	0,084	18,740
65,9	0,095	0,013	18,740
66,1	0,076	-0,026	18,740
66,2	0,059	-0,050	18,898
66,3	0,045	-0,042	18,898
66,5	0,033	-0,018	18,898
66,6	0,025	-0,002	18,898
66,7	0,019	-0,002	18,898
66,9	0,015	-0,018	18,898
67,0	0,014	-0,026	18,898
67,2	0,014	-0,026	18,898
67,3	0,015	-0,018	19,055
67,4	0,017	-0,010	19,055
67,6	0,019	-0,002	19,055
67,7	0,021	0,006	19,055
67,8	0,024	0,013	19,213
68,0	0,026	0,013	19,213
68,1	0,027	0,021	19,213
68,3	0,029	0,021	19,213
68,4	0,030	0,013	19,213
68,5	0,030	0,006	19,213
68,7	0,031	-0,010	19,213
68,8	0,030	-0,018	19,213
68,9	0,030	-0,026	19,370
69,1	0,029	-0,034	19,370
69,2	0,028	-0,034	19,370
69,3	0,026	-0,026	19,370
69,5	0,024	-0,010	19,528
69,6	0,022	0,006	19,528
69,8	0,019	0,013	19,528
69,9	0,017	0,013	19,528
70,0	0,016	0,006	19,528
70,2	0,015	0,006	19,528
70,3	0,014	0,006	19,528
70,4	0,014	-0,002	19,528
70,6	0,014	-0,002	19,685
70,7	0,015	-0,002	19,685
70,8	0,016	-0,018	19,685
71,0	0,018	-0,018	19,685
71,1	0,019	-0,026	19,843
71,3	0,020	-0,026	19,843
71,4	0,020	-0,018	19,685
71,5	0,020	-0,002	19,843
71,7	0,020	0,006	19,843
71,8	0,019	0,006	19,843
71,9	0,018	0,013	19,843
72,1	0,017	0,006	19,843
72,2	0,015	0,006	20,000
72,3	0,014	0,006	20,000
72,5	0,013	-0,002	20,000
72,6	0,013	-0,010	20,000
72,8	0,012	-0,018	20,157
72,9	0,013	-0,018	20,157
73,0	0,013	-0,018	20,157
73,2	0,015	-0,010	20,157
73,3	0,016	-0,002	20,157
73,4	0,019	0,006	20,157
73,6	0,021	0,013	20,157
73,7	0,024	0,013	20,157
73,8	0,028	0,021	20,315
74,0	0,031	0,013	20,315
74,1	0,034	-0,010	20,315
74,3	0,037	-0,026	20,315
74,4	0,040	-0,042	20,472
74,5	0,042	-0,042	20,472
74,7	0,043	-0,026	20,315
74,8	0,044	0,006	20,472
74,9	0,044	0,029	20,472
75,1	0,042	0,037	20,472
75,2	0,041	0,037	20,472
75,3	0,038	0,029	20,472
75,5	0,036	0,006	20,630
75,6	0,033	-0,010	20,630
75,8	0,030	-0,018	20,630
75,9	0,027	-0,026	20,630
76,0	0,026	-0,026	20,787
76,2	0,024	-0,026	20,787
76,3	0,023	-0,018	20,787
76,4	0,023	-0,002	20,787
76,6	0,023	0,006	20,787
76,7	0,024	0,006	20,787
76,8	0,024	0,013	20,787
77,0	0,025	0,021	20,787
77,1	0,025	0,021	20,945
77,3	0,024	0,013	20,945
77,4	0,023	0,021	20,945
77,5	0,022	-0,002	20,945
77,7	0,021	-0,010	21,102
77,8	0,020	-0,010	21,102
77,9	0,019	-0,026	21,102
78,1	0,019	-0,026	21,102
78,2	0,019	-0,026	21,102
78,4	0,021	-0,018	21,102
78,5	0,023	-0,002	21,102
78,6	0,026	0,013	21,102
78,8	0,029	0,013	21,260
78,9	0,031	0,013	21,260
79,0	0,032	0,006	21,260
79,2	0,030	-0,002	21,260
79,3	0,027	-0,002	21,417
79,4	0,021	0,013	21,417
79,6	0,013	0,013	21,417
79,7	0,005	0,021	21,417
79,9	0,003	0,013	21,417
80,0	0,007	-0,002	21,417
80,1	0,007	-0,026	21,417
80,3	0,002	-0,034	21,575
80,4	0,021	-0,042	21,575
80,5	0,053	-0,042	21,575
80,7	0,099	-0,057	21,575
80,8	0,161	-0,097	21,575
80,9	0,237	-0,057	21,575
81,1	0,326	0,084	21,575
81,2	0,427	0,297	21,575
81,4	0,535	0,502	21,732
81,5	0,648	0,454	21,732
81,6	0,761	0,021	21,732
81,8	0,871	-0,601	21,732
81,9	0,972	-1,010	21,732
82,0	1,063	-1,010	21,890
82,2	1,140	-0,656	21,890
82,3	1,202	0,328	21,890
82,4	1,247	0,998	21,732
82,6	1,275	0,998	21,890
82,7	1,285	0,998	21,890
82,9	1,279	0,612	21,890
83,0	1,256	-0,475	22,047
83,1	1,217	-1,010	22,047
83,3	1,165	-1,010	22,047
83,4	1,100	-1,010	22,047
83,5	1,024	-0,553	22,047
83,7	0,941	0,171	22,047
83,8	0,852	0,643	22,205
83,9	0,760	0,777	22,205
84,1	0,670	0,643	22,205
84,2	0,583	0,399	22,205
84,4	0,502	0,171	22,362
84,5	0,430	0,021	22,205
84,6	0,368	-0,065	22,362
84,8	0,317	-0,136	22,362
84,9	0,277	-0,207	22,362
85,0	0,247	-0,262	22,362
85,2	0,226	-0,262	22,362
85,3	0,212	-0,207	22,362
85,4	0,202	-0,089	22,362
85,6	0,196	0,037	22,520
85,7	0,190	0,132	22,520
85,9	0,183	0,171	22,520
86,0	0,175	0,163	22,520
86,1	0,164	0,124	22,677
86,3	0,152	0,061	22,677
86,4	0,137	-0,002	22,677
86,5	0,122	-0,050	22,677
86,7	0,106	-0,073	22,677
86,8	0,090	-0,081	22,677
87,0	0,076	-0,073	22,835
87,1	0,064	-0,042	22,677
87,2	0,054	-0,010	22,835
87,4	0,046	0,021	22,835
87,5	0,040	0,037	22,835
87,6	0,035	0,045	22,835
87,8	0,033	0,037	22,835
87,9	0,032	0,021	22,992
88,0	0,031	0,013	22,992
88,2	0,032	-0,010	22,992
88,3	0,034	-0,018	22,992
88,5	0,036	-0,026	22,992
88,6	0,039	-0,026	23,150
88,7	0,044	-0,042	22,992
88,9	0,048	-0,042	23,150
89,0	0,054	-0,026	23,150
89,1	0,060	-0,002	23,150
89,3	0,067	0,021	23,150
89,4	0,075	0,053	23,150
89,5	0,082	0,084	23,307
89,7	0,089	0,084	23,307
89,8	0,095	0,069	23,307
90,0	0,101	0,029	23,307
90,1	0,105	-0,034	23,307
90,2	0,108	-0,089	23,465
90,4	0,110	-0,105	23,465
90,5	0,110	-0,105	23,465
90,6	0,109	-0,065	23,465
90,8	0,107	-0,018	23,465
90,9	0,103	0,029	23,465
91,0	0,098	0,069	23,465
91,2	0,092	0,084	23,622
91,3	0,086	0,084	23,622
91,5	0,079	0,061	23,622
91,6	0,072	0,029	23,622
91,7	0,065	-0,002	23,622
91,9	0,058	-0,034	23,780
92,0	0,051	-0,050	23,780
92,1	0,046	-0,050	23,780
92,3	0,041	-0,042	23,780
92,4	0,037	-0,026	23,780
92,5	0,034	-0,010	23,780
92,7	0,033	-0,010	23,780
92,8	0,032	-0,002	23,780
93,0	0,032	-0,002	23,937
93,1	0,033	0,013	23,937
93,2	0,035	0,021	23,937
93,4	0,036	0,037	23,937
93,5	0,038	0,037	23,937
93,6	0,039	0,037	24,094
93,8	0,040	0,013	24,094
93,9	0,040	-0,002	24,094
94,0	0,040	-0,034	24,094
94,2	0,038	-0,042	24,094
94,3	0,036	-0,034	24,094
94,5	0,034	-0,018	24,252
94,6	0,031	-0,002	24,252
94,7	0,028	0,013	24,252
94,9	0,025	0,021	24,252
95,0	0,023	0,006	24,252
95,1	0,020	-0,002	24,252
95,3	0,018	-0,018	24,409
95,4	0,017	-0,018	24,409
95,5	0,015	-0,002	24,409
95,7	0,014	0,006	24,409
95,8	0,014	0,013	24,409
96,0	0,013	0,013	24,409
96,1	0,012	0,013	24,567
96,2	0,011	-0,002	24,567
96,4	0,011	-0,010	24,567
96,5	0,010	-0,002	24,567
96,6	0,010	-0,002	24,567
96,8	0,010	0,006	24,567
96,9	0,010	0,006	24,567
97,1	0,010	-0,002	24,724
97,2	0,011	-0,010	24,724
97,3	0,013	-0,010	24,724
97,5	0,016	-0,010	24,882
97,6	0,019	0,006	24,724
97,7	0,023	0,021	24,882
97,9	0,028	0,029	24,882
98,0	0,034	0,029	24,882
98,1	0,040	0,021	24,882
98,3	0,047	-0,010	24,882
98,4	0,054	-0,034	24,882
98,6	0,061	-0,050	24,882
98,7	0,069	-0,065	24,882
98,8	0,076	-0,057	25,039
99,0	0,083	-0,057	25,039
99,1	0,089	-0,034	25,039
99,2	0,095	-0,002	25,039
99,4	0,099	0,053	25,197
99,5	0,104	0,100	25,197
99,6	0,107	0,116	25,197
99,8	0,110	0,100	25,197
99,9	0,112	0,076	25,197
100,1	0,113	0,029	25,197
100,2	0,114	-0,026	25,197
100,3	0,114	-0,057	25,197
100,5	0,114	-0,089	25,354
100,6	0,114	-0,105	25,512
100,7	0,113	-0,105	25,354
100,9	0,111	-0,089	25,354
101,0	0,109	-0,050	25,512
101,1	0,106	-0,002	25,512
101,3	0,102	0,045	25,512
101,4	0,098	0,076	25,512
101,6	0,093	0,100	25,512
101,7	0,089	0,092	25,512
101,8	0,084	0,069	25,669
102,0	0,080	0,037	25,669
102,1	0,076	0,006	25,669
102,2	0,074	-0,018	25,669
102,4	0,072	-0,034	25,669
102,5	0,072	-0,050	25,669
102,6	0,072	-0,065	25,827
102,8	0,074	-0,081	25,827
102,9	0,077	-0,065	25,827
103,1	0,080	-0,042	25,827
103,2	0,083	-0,018	25,827
103,3	0,086	0,021	25,827
103,5	0,089	0,069	25,984
103,6	0,091	0,092	25,827
103,7	0,092	0,092	25,827
103,9	0,092	0,069	25,984
104,0	0,091	0,029	25,984
104,1	0,089	-0,010	25,984
104,3	0,086	-0,042	26,142
104,4	0,082	-0,065	26,142
104,6	0,078	-0,073	26,142
104,7	0,073	-0,065	26,142
104,8	0,068	-0,057	26,142
105,0	0,064	-0,026	26,142
105,1	0,059	0,013	26,299
105,2	0,056	0,029	26,142
105,4	0,053	0,045	26,299
105,5	0,051	0,045	26,299
105,7	0,050	0,053	26,299
105,8	0,049	0,037	26,299
105,9	0,050	0,029	26,457
106,1	0,051	0,006	26,457
106,2	0,052	-0,010	26,457
106,3	0,054	-0,026	26,457
106,5	0,055	-0,050	26,457
106,6	0,056	-0,057	26,457
106,7	0,056	-0,050	26,457
106,9	0,055	-0,018	26,457
107,0	0,054	0,013	26,614
107,2	0,051	0,045	26,614
107,3	0,049	0,053	26,614
107,4	0,046	0,045	26,614
107,6	0,043	0,029	26,772
107,7	0,040	0,006	26,772
107,8	0,038	-0,002	26,772
108,0	0,037	-0,010	26,772
108,1	0,037	-0,026	26,772
108,2	0,038	-0,034	26,772
108,4	0,040	-0,026	26,929
108,5	0,042	-0,042	26,772
108,7	0,044	-0,026	26,929
108,8	0,046	-0,010	26,929
108,9	0,048	0,021	26,929
109,1	0,049	0,037	26,929
109,2	0,049	0,061	26,929
109,3	0,048	0,045	26,929
109,5	0,046	0,037	27,087
109,6	0,044	0,006	27,087
109,7	0,041	-0,002	27,087
109,9	0,038	-0,018	27,087
110,0	0,035	-0,026	27,244
110,2	0,033	-0,026	27,244
110,3	0,031	-0,034	27,244
110,4	0,031	-0,018	27,244
110,6	0,030	-0,010	27,244
110,7	0,031	-0,002	27,244
110,8	0,032	0,013	27,244
111,0	0,033	0,021	27,244
111,1	0,034	0,037	27,244
111,2	0,035	0,037	27,402
111,4	0,035	0,029	27,402
111,5	0,035	0,021	27,402
111,7	0,035	-0,010	27,559
111,8	0,035	-0,018	27,559
111,9	0,034	-0,026	27,402
112,1	0,033	-0,034	27,559
112,2	0,032	-0,018	27,559
112,3	0,031	-0,026	27,559
112,5	0,031	-0,026	27,559
112,6	0,031	-0,010	27,559
112,7	0,031	-0,002	27,559
112,9	0,032	0,013	27,717
113,0	0,032	0,021	27,717
113,2	0,033	0,021	27,717
113,3	0,033	0,037	27,717
113,4	0,033	0,029	27,717
113,6	0,033	0,021	27,717
113,7	0,032	0,013	27,874
113,8	0,030	-0,002	27,874
114,0	0,028	-0,026	27,874
114,1	0,026	-0,026	27,874
114,3	0,023	-0,026	27,874
114,4	0,021	-0,018	28,031
114,5	0,020	-0,010	28,031
114,7	0,019	0,006	28,031
114,8	0,019	-0,002	28,031
